1,2015-04-12 20:34:47,COS: Quarterly Update,200,200,125,125,uploaded_images/cos_logo_EbnOFoh.png,"0,0,300,180",http://us9.campaign-archive2.com/?u=4ea2d63bcf7c2776e53a62167&id=b9a78b6985,"March 09, 2015 | This is a summary report of progress during our December 2014 to February 2015 quarter and some highlights of our plans for March to May 2015.",10
2,2015-04-12 21:20:50,The new scientific revolution: Reproducibility at last,200,200,125,125,uploaded_images/WashingtonPost_5XyfRfy.png,"0,0,642,98",http://www.washingtonpost.com/national/health-science/the-new-scientific-revolution-reproducibility-at-last/2015/01/27/ed5f2076-9546-11e4-927a-4fa2638cd1b0_story.html,"January 27, 2015 | Diederik Stapel, a professor of social psychology in the Netherlands, had been a rock-star scientist — regularly appearing on television and publishing in top journals. Among his striking discoveries was that people exposed to litter and abandoned objects are more likely to be bigoted.",2
3,2015-04-12 21:24:36,How Trustworthy is Published Science?,200,200,125,125,uploaded_images/psmag_seoiph8.png,"0,0,235,117", http://www.psmag.com/navigation/books-and-culture/trustworthy-published-science-97180/,"December 26, 2014 | There's some evidence of a reproducibility problem. But the more recent emphasis on exact replication of experiments may be misguided.",3
4,2015-04-12 21:25:39,Cancer biology reproducibility effort takes another step forward,200,200,125,125,uploaded_images/elife_ituiCeX.jpg,"0,0,658,300",http://elifesciences.org/elife-news/Cancer-biology-reproducibility-effort-takes-another-step-forward,"December 10, 2014 | eLife has published the first papers from the Reproducibility Project: Cancer Biology.",4
5,2015-04-12 21:26:47,Improving Scientific Research Worldwide,200,200,125,125,uploaded_images/elasticsearch_MhwWy8t.png,"0,0,900,268",http://www.elasticsearch.com/customer/center-open-science/,"December, 2014 | The challenge: How do you enable scientists around the world to improve processes, share, and collaborate? The Elasticsearch solution: By using Elasticsearch to provide 5x faster search and an improved user experience",5
6,2015-04-12 21:29:33,The Rules of Replication,200,200,125,125,uploaded_images/the_scientist_LFQglEX.jpg,"0,0,300,60",http://www.the-scientist.com/?articles.view/articleNo/41265/title/The-Rules-of-Replication/,"November 1, 2014 | Should there be standard protocols for how researchers attempt to reproduce the work of others?",6
7,2015-04-12 21:30:16,Teaching Integrity in Empirical Research,200,200,125,125,uploaded_images/loc_signal_logo_0XO2Nvw.jpg,"0,0,357,120",http://blogs.loc.gov/digitalpreservation/2014/09/teaching-integrity-in-empirical-research-an-interview-with-richard-ball-and-norm-medeiros/,"September 12, 2014 | An Interview with Richard Ball and Norm Medeiros",7
8,2015-04-12 21:34:07,Reproducing Results,200,200,125,125,uploaded_images/APA_Monitor_4aMxcjm.jpg,"0,0,350,83",http://www.apamonitor-digital.org/apamonitor/201409/#pg35,"September, 2014 | APA and other groups advocate for more data sharing and replication studies, although some psychologists say they aren't necessary.",8
9,2015-04-12 21:34:34,"eLife, the Center for Open Science, and Science Exchange partner to assess the reproducibility of cancer biology research",200,200,125,125,uploaded_images/elife_zioaAHy.jpg,"0,0,658,300",/pr/2014-08-28,"August 28, 2014 | eLife will be the publisher for the results of the Reproducibility Project: Cancer Biology, an effort led by the Center for Open Science and Science Exchange.",9
10,2015-04-12 21:36:01,A Year of Reproducibility Initiatives: The Replication Revolution Forges Ahead,200,200,125,125,uploaded_images/aps_4fwOnsY.jpg,"0,0,200,200",http://www.psychologicalscience.org/index.php/publications/observer/2014/july-august-14/a-year-of-reproducibility-initiatives-the-replication-revolution-forges-ahead.html,"July/August, 2014 | Emerging leaders in psychological reproducibility came together at the 2014 APS Annual Convention in San Francisco to discuss their current efforts to enact this cultural shift toward a more open and ultimately more reliable way of conducting scientific research.",1
