+ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- +
| name                 | position                                              | original_image_width | original_image_height | thumb_image_width | thumb_image_height | image                          | email | min_free_cropping | link                  |
+ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- +
| Daniel Lakens        | Eindhoven University of Technology                    | 500                  | 500                   | 200               | 200                | uploaded_images/lakens.png     |       | 0,0,327,317       | https://osf.io/pct7w/ |
| Elizabeth Page-Gould | University of Toronto                                 | 500                  | 500                   | 200               | 200                | uploaded_images/pagegould.png  |       | 0,0,399,399       | https://osf.io/u8rmv/ |
| Erica Baranski       | University of California, Riverside                   | 400                  | 400                   | 200               | 200                | uploaded_images/erica.jpg      |       | 0,0,451,451       | https://osf.io/gqx2h/ |
| Felix Schönbrodt     | Ludwig-Maximilians-Universität München                | 400                  | 400                   | 200               | 200                | uploaded_images/schonbrodt.jpg |       | 0,0,300,300       | https://osf.io/e5fh9/ |
| Garret Christensen   | UC Berkeley Center for Effective Global Action        | 400                  | 400                   | 200               | 200                | uploaded_images/garret.jpg     |       | 0,0,621,621       | https://osf.io/9nsep/ |
| George Banks         | Longwood University                                   | 400                  | 400                   | 200               | 200                | uploaded_images/banks.jpg      |       | 0,0,225,225       | https://osf.io/7x9sk/ |
| Gustav Nilsonne      | Stockholm University                                  | 600                  | 600                   | 200               | 200                | uploaded_images/nilsonne.jpg   |       | 0,0,163,166       | https://osf.io/nolrw/ |
| Hans IJzerman        | Tilburg University                                    | 400                  | 400                   | 200               | 200                | uploaded_images/IJzerman.jpg   |       | 0,0,2079,2048     | https://osf.io/3hsfj/ |
| Jon Grahe            | Pacific Lutheran University                           | 400                  | 400                   | 200               | 200                | uploaded_images/grahe.JPG      |       | 0,0,3283,3279     | https://osf.io/ul4gx/ |
| Kara Woo             | National Center for Ecological Analysis and Synthesis | 400                  | 400                   | 200               | 200                | uploaded_images/woo.jpg        |       | 0,0,2713,2713     | https://osf.io/3dmgk/ |
| Nicole Janz          | University of Cambridge                               | 400                  | 400                   | 200               | 200                | uploaded_images/nicole.jpg     |       | 0,0,288,288       | https://osf.io/rg9e3/ |
| Norm Medeiros        | Haverford College                                     | 400                  | 400                   | 200               | 200                | uploaded_images/norm.jpg       |       | 0,0,500,500       | https://osf.io/c8p6s/ |
| Richard Ball         | Haverford College                                     | 400                  | 400                   | 200               | 200                | uploaded_images/richard.jpg    |       | 0,0,300,300       | https://osf.io/jdstq/ |
| Richard Klein        | University of Florida                                 | 400                  | 400                   | 200               | 200                | uploaded_images/klein.jpg      |       | 0,0,400,400       | https://osf.io/tmwry/ |
| Susann Fiedler       | MPI Collective Goods Institute                        | 400                  | 400                   | 200               | 200                | uploaded_images/fiedler.JPG    |       | 0,0,2575,2568     | https://osf.io/acfnb/ |
+ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- +
